NB,LATITUDE,LONGITUDE,NAME,NAME_MOD,AUTH_ANC,AUTH_MOD,COUNTRY,AM,PP,RE,BW,QU,MO,CN,SL,SH,PH,CO
1351,37.611144,25.099541," Ophioussa, Tenos, Tenus","Isle of Tinos, İstendil","Herodotus, Hist, 6, 97 ; Scylax, Peripl ; Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1352,37.530421,25.223531,Smobolon ,"near Laouti, on the isle of Tenos",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1353,37.531108,25.155834,Tenos ,"Tinos, on the isle of Tenos",,"Lehmann, BAtlas",GR: Cyclades Isl.,m,,rs,X,,,,,,,
1354,37.551311,25.140948,Tenos (Temple of Poseidon),"Kionia, on the isle of Tenos",,Lehmann,GR: Cyclades Isl.,m,,rs,X,,,,,,,
1355,37.446397,25.377231,"Mykonos, Miconos","Isle of Mykonos, Mökene","Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1356,37.448655,25.324235,"Mykonos, Miconos","Mikonos, on the isle of Mykonos, Mökene",,"BAtlas, Flemming",GR: Cyclades Isl.,m,,,,,,,,,,
1357,37.397116,25.264415,"Delessa, Dhilos, Délos, Delos with at least 3 ancient lighthouses: on the islet of Kherroniso (South end), at Cape Ghoourna (North end), at Cape Skyros or Sykia (East side)","Isle of Dhilos, Delos","Herodotus, Hist, 6, 99-118 ; Ovid, Métamorphoses, 3, 597-636 & 13, 623-642 ; Diodorus, Hist, 11, 9 ; Livy, Hist, 36, 42-43 & 45, 10 ; Polybius, Hist, 31, 7 ; Strabo, Geogr, 10, 5 ; Polyaenus, Stratagèmes, 3, 9 ; Antonine, Itin Mar","Lehmann, Flemming, Blackman, Christiansen",GR: Cyclades Isl.,a,,r,X,X,X,,,,X,
1358,37.408143,25.238627,"Rhenaia, with possible ancient lighthouse at Marmarokopio (SE end of the island)","Rinia, on the isle of Rinia, Rhénée, near Delos","Herodotus, Hist, 6, 97","Lehmann, Christiansen",GR: Cyclades Isl.,a,,rs,X,X,,,,,,
1359,37.415749,24.915889,Syros ,"Isle of Syros, Siros ","Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1360,37.442291,24.944177,Syros ,"Ermoupoli, on the isle of Syros",,BAtlas,GR: Cyclades Isl.,m,p,,,,,,,,,
1361,37.422388,24.873116,"Galessos, Galissas","Galessos, Galissas, on the isle of Syros ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1362,37.394918,24.879091,"Phoinikas, Posidi","Finikas, on the isle of Syros",,Lehmann,GR: Cyclades Isl.,m,,,,,,,,,,
1363,37.161770,24.484598, Seriphos ,Isle of Seriphos,"Scylax, Peripl ; Antonine, Itin Mar",Flemming,GR: Cyclades Isl.,a,,,,,,,,,,
1364,37.143265,24.519933,Seriphos ,"Serifos, on the isle of Seriphos",,BAtlas,GR: Cyclades Isl.,m,p,,,,,,,,,
1365,36.976716,24.699102,Merope,"Isle of Sifnos, Yavuzca","Quintus, Hist, 4, 1 ; Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1366,37.022220,24.701749,,"Agia Nikitas, on the isle of Sifnos, Yavuzca ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1367,36.972617,24.748983,"Siphnos, Syphnos","near Platys Gialos, on the isle of Sifnos, Yavuzca",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1368,36.920443,24.737008,Aspros Pyrgos ,"near Kastro, on the isle of Sifnos, Yavuzca",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1369,36.969203,24.665181,,"Blase, Vlasi, on the isle of Sifnos, Yavuzca ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1370,36.991489,24.672021,,"Kamares, on the isle of Sifnos, Yavuzca",,,GR: Cyclades Isl.,m,,,,,,,,,,
1370.1,36.971096,25.024241,Prepesinthos,Isle of Despotiko,,,GR: Cyclades Isl.,m,,,,,,,,,,
1371,37.000630,25.045109,"Holiaros, Olearos ","Isle of Antiparos, Andibara","Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1372,37.043227,25.095869,,Isle of Remmatonisi between Paros and Antiparos,,,GR: Cyclades Isl.,m,,,,,,,,,,
1373,37.143886,25.227756,,"Ormos Ay Ioannou, inside Ormos Naousis on the isle of Paros",,AdG,GR: Cyclades Isl.,m,p,,,,,,,,,
1373.1,37.125935,25.214985,,"Koukounaries, on the isle of Paros, Bara",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1374,37.126385,25.238237,Naussa,"Naousa, on the isle of Paros, Bara","Scylax, Peripl ; Antonine, Itin Mar",Lehmann,GR: Cyclades Isl.,a,,rs,X,X,,,,,,
1375,37.130656,25.264403,,"Isle of Oikonomou in the bay of Naousa, on the isle of Paros, Bara",,,GR: Cyclades Isl.,m,,,,,,,,,,
1375.1,37.138657,25.266262,,"Ormos Langeri, inside Ormos Naousis on the isle of Paros",,AdG,GR: Cyclades Isl.,m,p,,,,,,,,,
1376,37.144621,25.290170,,"Kargadousa, on the isle of Paros, Bara ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1377,37.127160,25.287249,,"Philitzi, on the isle of Paros, Bara ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1378,37.054118,25.268269,Hydria ,"near Molos, on the isle of Paros, Bara",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1379,37.001316,25.232869,Dryos,"Dryos, on the isle of Paros, Bara ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1380,37.083581,25.142147,"Paros, Minois","Paros, on the isle of Paros, Bara ",,"BAtlas, Flemming",GR: Cyclades Isl.,m,,,,,,,,,,
1381,37.059057,25.471704,"Naxos, Ile Dhia, Homer's Dia","Isle of Naxos, Naksa","Ovid, Métamorphoses, 3, 597-636 ; Thucydides, Péloponnèse, 6, 50 ; Antonine, Itin Mar ; Polyaenus, Stratagèmes, 1, 30 & 3, 11 & 5, 2",Lehmann,GR: Cyclades Isl.,a,,,,,,,,,,
1382,37.183581,25.555853,Tragia ,"Apollonas, on the isle of Naxos, Naksa",,Flemming,GR: Cyclades Isl.,m,,,,,,,,,,
1383,37.104406,25.371891,Naxos ,"Naxos, on the isle of Naxos, Naksa",,"BAtlas, Flemming",GR: Cyclades Isl.,m,,,,,,,,,,
1384,36.835767,25.890180,"Hyperia, Amorgus ","Isle of Amorgos, Yamurgi","Scylax, Peripl",Flemming,GR: Cyclades Isl.,a,,,,,,,,,,
1385,36.813602,25.820408,Arcesine ,"near Arkesini, on the isle of Amorgos",,"Flemming, BAtlas",GR: Cyclades Isl.,m,,,,,,,,,,
1386,36.828766,25.861273,Minoa ,"Katapola, on the isle of Amorgos",,Flemming,GR: Cyclades Isl.,m,,,,,,,,,,
1387,36.904164,25.971796,Aegiale ,"Egiali, on the isle of Amorgos",,Flemming,GR: Cyclades Isl.,m,,,,,,,,,,
1388,37.002197,26.470548,Lebinthos,"Ormos Levitha, on the isle of Levitha",,BAtlas,GR: Cyclades Isl.,m,p,,,,,,,,,
1389,36.722700,25.329049,"Phoiniki, Hios","Isle of Ios, Aniye","Scylax, Peripl ; Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1390,36.722770,25.271433,Ios ,"Ios, on the isle of Ios",,"BAtlas, Flemming",GR: Cyclades Isl.,m,p,,,,,,,,,
1391,36.817810,24.555966,"Ekhinoussa, Echinoussa ","Isle of Kimolos, Cimelos, Gümüs","Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1392,36.785833,24.529443,Kimolos ,"Kimolos, on the isle of Kimolos, Cimelos, Gümüs",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1393,36.761710,24.379830,Zefyria,"Isle of Milos, Melos, Değirmenlik","Scylax, Peripl",Lehmann,GR: Cyclades Isl.,a,,,,,,,,,,
1394,36.765461,24.528092,Phylakopi ,"Pelekoudi, Pollonia, on the isle of Milos, Melos, Değirmenlik",,"Flemming, BAtlas",GR: Cyclades Isl.,m,,,,,,,,,,
1395,36.739243,24.536253,,"Agios Ioannes, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1396,36.728267,24.539291,,"Tria Pigadia and Kato Komia, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1397,36.672151,24.517879,,"Palaiochori, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1398,36.667880,24.501172,,"Agios Kyriake, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1399,36.661459,24.481168,,"Stoloi, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1400,36.666494,24.444633,,"Probatas, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1401,36.724477,24.336142,,"Sta Glastria, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1402,36.709193,24.398281,,"Emborio, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1403,36.731927,24.417208,,"Melos, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1404,36.744812,24.463301,,"Kaminia, on the isle of Milos, Melos, Değirmenlik ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1405,36.635101,24.919487,,"Pholegandros, on the isle of Folegandros ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1406,36.668087,25.079721,,"Sikinos and Episcopi, on the isle of Sikinos ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1407,36.454321,25.348390,,Therasia ? on the isle of Santorini-Thirasia ,,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1408,36.413001,25.488671,,"Monolithos, on the isle of Santorini-Thera ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1409,36.370357,25.484512,"Oea, Oia, port of l’antique Thira, Thera ","Kamari, on the isle of Santorini-Thera",,"Flemming, BAtlas",GR: Cyclades Isl.,m,,,,,,,,,,
1410,36.354358,25.477229,"Kallisti, port of l’antique Thira, Thera ","Perissa, on the isle of Santorini-Thera",,"Lehmann, Flemming, BAtlas",GR: Cyclades Isl.,m,,,,,,,,,,
1411,36.328823,25.436587,Eleusis ? ,"near Vlychada, on the isle of Santorini-Thera",,"BAtlas, Flemming",GR: Cyclades Isl.,m,,,,,,,,,,
1412,36.362354,25.403192,Akrotiri ,"Akrotiri, on the isle of Santorini-Thera",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1413,36.340971,25.774540,Anaphe ,"Anafi, on the isle of Anafi, Anafiye",,"Lehmann, BAtlas",GR: Cyclades Isl.,m,,rs,X,,,,,,,
1414,36.546655,26.359898,Astipalaia ,"Astypalaia, on the isle of Astypalaia, Stampalia","Luc, Actes, 21.1 ; Scylax, Peripl","Lehmann, BAtlas",GR: Cyclades Isl.,a,,rs,X,,,,,,,
1415,36.539446,26.345393,Livadi,"Livadi, on the isle of Astypalaia ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1416,36.588824,26.279827,Panormos,"Panormos, on the isle of Astypalaia ",,BAtlas,GR: Cyclades Isl.,m,,,,,,,,,,
1416.1,36.618285,26.395346,,"Vathi, on the isle of Astypalaia ",,AdG,GR: Cyclades Isl.,m,p,,,,,,,,,
1417,35.926577,24.669440,"Carsa, Anacole, Calippia, Boia, Balesos, Cale, Edenedia, Ascaphos",unlocalized islands between Thrace and Crete,"Antonine, Itin Mar",,GR: Cyclades Isl.,a,,,,,,,,,,
1418,40.781008,24.710973,"Thasos, Thase, Chryse, with its ancient lighthouse and a lighthouse at Cape Phanari",military port on the North coast of the isle of Thassos,"Homer, Iliad, 1, 430 ; Scylax, Peripl; Herodotus, Hist, 6, 44 ; Xenophon, Helléniques, 1, 1 ; Demosthenes, Apollodorus/Polyclès, 20","Lehmann, Theodoulou, Tiverios, Loven, Christiansen",GR: Eastern Isl.,a,p,rs,X,X,,,,X,X,
1419,40.784757,24.714331,"Thasos, Thase, Chryse, with its ancient lighthouse and a lighthouse at Cape Phanari",commercial port on the North coast of the isle of Thassos,"Homer, Iliad, 1, 430 ; Scylax, Peripl; Xenophon, Helléniques, 1, 1 ; Demosthenes, Apollodorus/Polyclès, 20","Theodoulou, Tiverios, Flemming, Christiansen",GR: Eastern Isl.,a,,rs,X,X,,,,X,X,
1420,40.714300,24.762887,"Ainyra, and its Akeratos lighthouse at Cape Pyrgos","near Potamia, on the isle of Thassos",,"Tiverios, Christiansen",GR: Eastern Isl.,m,,,,,,,,,X,
1421,40.666858,24.765922,"Koinyra, Coenyra ","Kinyra, on the isle of Thassos",,Tiverios,GR: Eastern Isl.,m,,,,,,,,,,
1422,40.605355,24.743129,Aliki ,on the South coast of the isle of Thassos,,"Lehmann, Tiverios",GR: Eastern Isl.,m,,r,,,X,,,,,
1423,40.594194,24.694956,Thymonia ,"near Arhangelou monastry, on the isle of Thassos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1424,40.578905,24.670481,Kalami ,near Astris the isle of Thassos,,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1425,40.560987,24.622275,Panaghia ,Isle of Panaghia,,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1426,40.617878,24.547479,Fari ,near Tripiti ? on the isle of Thassos,,Tiverios,GR: Eastern Isl.,m,,,,,,,,,,
1427,40.642083,24.508950,,"Skala Marion, on the isle of Thassos ",,Tiverios,GR: Eastern Isl.,m,,,,,,,,,,
1428,40.508643,25.524546, Samothraca ,"Paleopoli, on the isle of Samothrace","Plutarch, Paul Emile, 26 ; Scylax, Peripl ; Antonine, Itin Mar ; Ovid, Tristes, 1, 10","Lehmann, Tiverios",GR: Eastern Isl.,a,,,,,,,,,,
1429,40.494755,25.653858,Zerynthos ,"near R Fonias, on the isle of Samothrace",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1430,40.477071,25.470216,Demetrion ,"near Kamariotissa, on the isle of Samothrace",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1433,39.921788,25.182003, Lemnos ,Isle of Limnos,"Thucydides, Péloponnèse, 8, 102 ; Plutarch, Lucullus, 17-18 ; Scylax, Peripl ; Antonine, Itin Mar",,GR: Eastern Isl.,a,,,,,,,,,,
1434,39.840238,25.065828,Thanos ,SW tip of the isle of Lemnos,,Theodoulou,GR: Eastern Isl.,m,,rs,X,,,,,,,
1435,39.874224,25.059789,Myrina ,on the isle of Lemnos,,Flemming,GR: Eastern Isl.,m,p,,,,,,,,,
1436,39.943034,25.281273,Kokkinos,"bay of Kotsinas, on the isle of Lemnos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1437,39.963366,25.314333,Hephaistia ,on the isle of Lemnos,,"Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,m,,rs,X,,,,,,,
1438,39.987680,25.351852,Neftina ,on the isle of Lemnos,,Theodoulou,GR: Eastern Isl.,m,,rs,X,,,,,,,
1439,40.014637,25.366993,Sotiras ,on the isle of Lemnos,,Theodoulou,GR: Eastern Isl.,m,,rs,X,,,,,,,
1440,39.852322,25.345795,"Poliochni, Polichne ","Voroskopos, on the isle of Lemnos",,Flemming,GR: Eastern Isl.,m,,,,,,,,,,
1440.1,39.870490,25.245694,,"Ormos Moudhrou, on the isle of Lemnos",,AdG,GR: Eastern Isl.,m,p,,,,,,,,,
1440.2,39.916667,25.550000,Chryseis,"Ifalos Keros, Charos",,,GR: Eastern Isl.,m,,,,,,,,,,
1441,39.113145,26.556410,Mytilène (port of commerce),"North side of Mytilini, on the isle of Lesbos, Lesvos","Herodotus, Hist, 5, 98 ; Diodorus, Hist, 13, 77 & 79 ; Homer, Odyssey, 3, 170 ; Luc, Actes, 20.14 ; Theocritus, Idylles, 7 ; Arrian, Alexander, 2, 6 ; Thucydides, Péloponnèse, 3, 2-3 & 8, 23-24 ; Scylax, Peripl ; Xenophon, Helléniques, 1, 6 ; Josephus Flavius, Antiquités, 2, 2","Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,a,,rs,X,X,,,,,,
1442,39.105706,26.557779,"Mytilène (military port), with possible lighthouse near the circular municipal swimming pool and statue of Liberty","South side of Mytilini, on the isle of Lesbos, Lesvos","Diodorus, Hist, 13, 77 & 79 ; Homer, Odyssey, 3, 170 ; Luc, Actes, 20.14 ; Theocritus, Idylles, 7 ; Arrian, Indica, 2, 6 ; Thucydides, Péloponnèse, 3, 2-3 & 8, 23 ; Scylax, Peripl ; Xenophon, Helléniques, 1, 6 ; Josephus Flavius, Antiquités, 2, 2","Lehmann, Theodoulou, Flemming, Blackman, Christiansen",GR: Eastern Isl.,a,,rs,,,,,,X,X?,
1443,39.038917,26.614131,,"Agios Georgios, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1444,39.043799,26.526140,,"Skala ton Loutron, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1445,39.067529,26.527097,,"Phara, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1446,39.095513,26.507338,,"Agios Nikolaos, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1447,39.092785,26.452063,,"Kato Tritos, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1448,39.053772,26.495883,Hiera ,"near Chalatses, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1449,38.976658,26.512984,Myrsinia ,"near Tsilia, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1450,39.009403,26.177153,Vrissa ,"St Phokas, Agios Fokas South of the isle of Lesbos, Lesvos",,Theodoulou,GR: Eastern Isl.,m,,rs,X,,,,,,,
1451,39.078417,26.077813,,"Garbias, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1452,39.143408,26.245603,,"Agios Berenike, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1453,39.157506,26.285000,Pyrrha ,"Pyrra WS of the isle of Lesbos, Lesvos","Strabo, Geogr, 13, 2 ; Thucydides, Péloponnèse, 8, 23 ; Scylax, Peripl","Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,a,,r,X,,,,,X?,,
1454,39.178999,26.292064,,"Kalogera, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1455,39.190138,26.288287,"Mesa, Mesitziki ","North of Pyrrha, on the isle of Lesbos, Lesvos",,"Theodoulou, Flemming",GR: Eastern Isl.,m,,rs,,X,,,,,,
1456,39.136900,26.127573,,"Bigla tou Aetou, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1457,39.107626,26.100593,,"Apotheke, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1458,39.086213,26.072871,,"Makara, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1459,39.104001,25.962414,,"Kampos Krousos, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1460,39.130276,25.933885,Eresos ,"SW of the isle of Lesbos, Lesvos","Thucydides, Péloponnèse, 8, 23","Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,a,,rs,,X,,,,,,
1461,39.165339,25.863239,Lesbas on the R Meladia,"Lesbas, on R Meladia, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1462,39.217734,25.849311,Sigron ,"Sigri, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1463,39.281986,25.925052,Lapsarna,"Lapsarna, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1464,39.287946,26.022143,Antissa ,"NW of the isle of Lesbos, Lesvos","Strabo, Geogr, 13, 2 ; Livy, Hist, 45, 31","Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,a,,rs,X,X,,,,,,
1465,39.292541,26.046415,Kalo Limani ,"Tsamur, NW of the isle of Lesbos, Lesvos",,Theodoulou,GR: Eastern Isl.,m,,rs,X,X,,,,,,
1466,39.306552,26.089407,,"Koutlougouni, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1467,39.312124,26.114846,,"Kastrelli, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1468,39.320090,26.142204,,"Selles, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1469,39.333930,26.176190,,"Petra and Kabaki, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1470,39.366085,26.170152,"Methymna, Methymne ","Mithimna on the isle of Lesbos, Lesvos","Xenophon, Helléniques, 1, 2","Lehmann, Theodoulou, Flemming",GR: Eastern Isl.,a,p,rs,X,X,X,,,,,
1471,39.373858,26.303270,Skala Sykamias ,"North coast of the isle of Lesbos, Lesvos",,Theodoulou,GR: Eastern Isl.,m,,rs,,X,,,,,,
1472,39.275361,26.383770,Aigairos ? ,"near Aspropotamos, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1473,39.214343,26.479771,,"Skala Mistegnon, on the isle of Lesbos, Lesvos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1474,39.177346,26.504336,Therme ? ,"near Loutropoli Thermis, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1475,39.142246,26.534023,Malea ,"near Panagioudia, on the isle of Lesbos, Lesvos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1476,39.161060,23.489722,Sciathos,"Sciathos, on the isle of Skiathos","Scylax, Peripl","Lehmann, BAtlas, Flemming",GR: Eastern Isl.,a,,,,,,,,,,
1476.1,39.150560,23.399511,,"Koukounaries, on the isle of Skiathos",,AdG,GR: Eastern Isl.,m,p,,,,,,,,,
1477,39.200740,23.448609,,"Agios Athanasios, on the isle of Skiathos ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1478,39.131260,23.735621,Peparethos,"Skopelos, on the isle of Skopelos","Scylax, Peripl","Lehmann, BAtlas, Flemming",GR: Eastern Isl.,a,,r,,X,,,,,,
1479,39.108895,23.653339,Panormos,"Panormos, on the isle of Skopelos",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1480,39.164867,23.614766,Selinus ,"Loutraki, on the isle of Skopelos",,Flemming,GR: Eastern Isl.,m,,,,,,,,,,
1481,39.160070,23.897481,Ikos on l’island d’Icos ,"near Chrisi Milia, on the island d’Alonnisos","Antonine, Itin Mar",BAtlas,GR: Eastern Isl.,a,,,,,,,,,,
1481.1,39.200275,23.977237,,"Ormos Vasiliko, on the isle of Peristeri",,AdG,GR: Eastern Isl.,m,p,,,,,,,,,
1481.2,39.347330,24.071967,,"Planitis, on the isle of Pelagos",,AdG,GR: Eastern Isl.,m,p,,,,,,,,,
1482,38.903123,24.580355,"Skyros, Ctesium ","Skyros, on the isle of Scyros","Plutarch, Cimon, 10 ; Antonine, Itin Mar","BAtlas, Flemming",GR: Eastern Isl.,a,,,,,,,,,,
1483,38.838413,24.557419,Kresion ,"near Kalamitsa, on the isle of Scyros",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1484,38.555320,25.562219,"Psyrie, Psyra","beach sheltered by the islet Agio Nikolaki, on the isle of Psara","Homer, Odyssey, 3, 185","Lehmann, BAtlas",GR: Eastern Isl.,a,,,,,,,,,,
1485,38.566798,25.558138,"Psyrie, Psyra","breakwater between the islet Daskalion and Arxontiki, on the isle of Psara","Homer, Odyssey, 3, 185","Lehmann, BAtlas",GR: Eastern Isl.,a,,rs,X,,,,,,,
1486,38.429380,26.041350,"Chios, Khios",Isle of Chios ,"Livy, Hist, 37, 27 & 37, 31. Nepos, Chabrias, 4 ; Homer, Odyssey, 3, 172 ; Luc, Actes, 20.15 ; Polybius, Hist, 16, 4; Strabo, Geogr, 14, 1 ; Quintus, Hist, 4, 5 ; Nepos, Chabrias, 4 ; Thucydides, Péloponnèse, 8, 17-23-34 ; Scylax, Peripl ; Xenophon, Helléniques, 1, 1 ; Josephus Flavius, Antiquités, 2, 2 ; Herodotus, Hist, 5, 98 ; Arrian, Alexander, 3, 1 ; Polyaenus, Stratagèmes, 3, 9",,GR: Eastern Isl.,a,,,,,,,,,,
1487,38.371887,26.139368,"Chios, Berenice de Chios ","Chio, on the isle of Chios","Strabo, Geogr, 14, 1","Cohen, Flemming, Lehmann, Blackman",GR: Eastern Isl.,a,p,r,,,,,,X,,
1488,38.339320,26.146252,Kontari,"Kontari, on the isle of Chios ",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1489,38.185646,26.032777,Emporio ,"Emporios, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1490,38.154271,26.008627,Dotion near le promontory and l’isle of Phanae ,"Vroulidia, near Dotia at the southern tip of the isle of Chios","Livy, Hist, 36, 43 & 45, 10",,GR: Eastern Isl.,a,,,,,,,,,,
1491,38.293707,25.926806,Port profond de Pliante ,Mesta ?? on the isle of Chios,"Strabo, Geogr, 14, 1",,GR: Eastern Isl.,a,,,,,,,,,,
1492,38.343048,25.992657,Mouillage de Notium ,Lithiou ? on the isle of Chios,"Strabo, Geogr, 14, 1",,GR: Eastern Isl.,a,,,,,,,,,,
1493,38.384703,25.988471,Mouillage de Laïus ,"Elindas, on the isle of Chios","Strabo, Geogr, 14, 1",,GR: Eastern Isl.,a,,,,,,,,,,
1494,38.416179,25.959151,,"Metokhi, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1495,38.469212,25.919388,"Caucasa, Kaukasa ? ","near Volissos, on the isle of Chios","Herodotus, Hist, 5, 33","RE, BAtlas",GR: Eastern Isl.,a,,,,,,,,,,
1496,38.592157,26.044002,Amades ,"Amades, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1497,38.545592,26.113321,Kardamyle ? Cardamyle ,"Marmaro, on the isle of Chios",,"Flemming, BAtlas",GR: Eastern Isl.,m,,,,,,,,,,
1498,38.484775,26.129544,Delphinion ,"Delfini near Lagada, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1499,38.442956,26.146200,Milingos ,"near Glari, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1500,38.417621,26.137764,Brabantion ,"near Vrontados, on the isle of Chios",,BAtlas,GR: Eastern Isl.,m,,,,,,,,,,
1501,38.512962,26.218861,"Oinousa, Oenusses islands, Subota, Sybota?","Oinousses islands, near Chios","Livy, Hist, 44, 28 ; Thucydides, Péloponnèse, 8, 24",,GR: Eastern Isl.,a,p,,,,,,,,,
